0,1,2,3,4,District
 ,Kaligonj,Rangamatia, , ,গাজীপুর পোস্ট কোড
 ,Kaligonj,Sauraid, , ,গাজীপুর পোস্ট কোড
 ,Kaligonj,Kolapatua, , ,গাজীপুর পোস্ট কোড
 ,Kaligonj,Deputipara, , ,গাজীপুর পোস্ট কোড
 ,Kaligonj,Baghun, , ,গাজীপুর পোস্ট কোড
 ,Kaligonj,Dokkhinbag, , ,গাজীপুর পোস্ট কোড
 ,Kaligonj,Vawal Noapara, , ,গাজীপুর পোস্ট কোড
 ,Kaligonj,Nurun Bazar, , ,গাজীপুর পোস্ট কোড
 ,Kaligonj,Ajmatpur, , ,গাজীপুর পোস্ট কোড
10,Kaligonj,Pubali EDSO, ,1721,গাজীপুর পোস্ট কোড
11,Kaligonj,Santan Para EDSO, ,1722,গাজীপুর পোস্ট কোড
12,Kaligonj,Bhawal Jamalpur EDSO, ,1723,গাজীপুর পোস্ট কোড
13,Kapasia,Kapasia UPO, ,1730,গাজীপুর পোস্ট কোড
 ,Kapasia,Aral Bazar, , ,গাজীপুর পোস্ট কোড
 ,Kapasia,Kamargaon, , ,গাজীপুর পোস্ট কোড
 ,Kapasia,Khirati, , ,গাজীপুর পোস্ট কোড
 ,Kapasia,Gaghutiya, , ,গাজীপুর পোস্ট কোড
 ,Kapasia,Singuya, , ,গাজীপুর পোস্ট কোড
 ,Kapasia,Pakiyab Madrasa, , ,গাজীপুর পোস্ট কোড
 ,Kapasia,Meruya Madrasa, , ,গাজীপুর পোস্ট কোড
 ,Kapasia,Mirzanagar, , ,গাজীপুর পোস্ট কোড
 ,Kapasia,Char Nilokkhi, , ,গাজীপুর পোস্ট কোড
 ,Kapasia,Hasanpur, , ,গাজীপুর পোস্ট কোড
 ,Kapasia,Sonmaniya, , ,গাজীপুর পোস্ট কোড
 ,Kapasia,Noruttampur, , ,গাজীপুর পোস্ট কোড
 ,Kapasia,Pachua Hazir Bazar, , ,গাজীপুর পোস্ট কোড
 ,Kapasia,Tokenoyon Bazar, , ,গাজীপুর পোস্ট কোড
 ,Kapasia,Verarchar, , ,গাজীপুর পোস্ট কোড
 ,Kapasia,Barishab, , ,গাজীপুর পোস্ট কোড
 ,Kapasia,Birojali, , ,গাজীপুর পোস্ট কোড
 ,Kapasia,Aralia Bazar, , ,গাজীপুর পোস্ট কোড
 ,Kapasia,Ikuriya, , ,গাজীপুর পোস্ট কোড
 ,Kapasia,Khamer, , ,গাজীপুর পোস্ট কোড
 ,Kapasia,Torgaon, , ,গাজীপুর পোস্ট কোড
 ,Kapasia,Taragonj, , ,গাজীপুর পোস্ট কোড
 ,Kapasia,Pakbaghiya, , ,গাজীপুর পোস্ট কোড
 ,Kapasia,Pabur, , ,গাজীপুর পোস্ট কোড
 ,Kapasia,Vawal Chandpur, , ,গাজীপুর পোস্ট কোড
 ,Kapasia,Raniganj Bazar, , ,গাজীপুর পোস্ট কোড
 ,Kapasia,Vawal Narayanpur, , ,গাজীপুর পোস্ট কোড
 ,Kapasia,Rawnait, , ,গাজীপুর পোস্ট কোড
 ,Kapasia,Tilshuniya, , ,গাজীপুর পোস্ট কোড
 ,Kapasia,Fulbariya Madrasa, , ,গাজীপুর পোস্ট কোড
 ,Kapasia,Pirojpur, , ,গাজীপুর পোস্ট কোড
 ,Kapasia,Charkhamer, , ,গাজীপুর পোস্ট কোড
 ,Kapasia,Baghua, , ,গাজীপুর পোস্ট কোড
 ,Kapasia,Palashpur, , ,গাজীপুর পোস্ট কোড
 ,Kapasia,Borunhat, , ,গাজীপুর পোস্ট কোড
 ,Kapasia,Lohadi, , ,গাজীপুর পোস্ট কোড
 ,Kapasia,Amraid, , ,গাজীপুর পোস্ট কোড
 ,Kapasia,Ulusara, , ,গাজীপুর পোস্ট কোড
 ,Kapasia,Kopaleshwar, , ,গাজীপুর পোস্ট কোড
 ,Kapasia,Vuleshwar, , ,গাজীপুর পোস্ট কোড
 ,Kapasia,Rayed, , ,গাজীপুর পোস্ট কোড
 ,Kapasia,Singhoshree, , ,গাজীপুর পোস্ট কোড
 ,Kapasia,Sohagpur, , ,গাজীপুর পোস্ট কোড
 ,Kapasia,Dumdiya, , ,গাজীপুর পোস্ট কোড
14,Sreepur,Sreepur UPO, ,1740,গাজীপুর পোস্ট কোড
 ,Sreepur,Rajendropur Bazar, , ,গাজীপুর পোস্ট কোড
 ,Sreepur,Satkhamair, , ,গাজীপুর পোস্ট কোড
 ,Sreepur,Basudebpur, , ,গাজীপুর পোস্ট কোড
 ,Sreepur,Marta, , ,গাজীপুর পোস্ট কোড
 ,Sreepur,Gajipur Bazar, , ,গাজীপুর পোস্ট কোড
 ,Sreepur,Goshinga, , ,গাজীপুর পোস্ট কোড
 ,Sreepur,Gila Beraid, , ,গাজীপুর পোস্ট কোড
 ,Sreepur,Tengra, , ,গাজীপুর পোস্ট কোড
 ,Sreepur,Doni Borotopa, , ,গাজীপুর পোস্ট কোড
 ,Sreepur,Boiragir Chala, , ,গাজীপুর পোস্ট কোড
 ,Sreepur,Mawna, , ,গাজীপুর পোস্ট কোড
 ,Sreepur,Telihati, , ,গাজীপুর পোস্ট কোড
 ,Sreepur,Nij Mawna, , ,গাজীপুর পোস্ট কোড
 ,Sreepur,Latifpur, , ,গাজীপুর পোস্ট কোড
 ,Sreepur,Kewa Bazar, , ,গাজীপুর পোস্ট কোড
15,Sreepur,Rajendrapur EDSO, ,1741,গাজীপুর পোস্ট কোড
16,Sreepur,Rajendrapur Cantt. SO, ,1742,গাজীপুর পোস্ট কোড
 ,Sreepur,Vawal rajabari, , ,গাজীপুর পোস্ট কোড
 ,Sreepur,Nolgaon, , ,গাজীপুর পোস্ট কোড
 ,Sreepur,Faogain, , ,গাজীপুর পোস্ট কোড
 ,Sreepur,Damdoma, , ,গাজীপুর পোস্ট কোড
17,Sreepur,Barmi SO, ,1743,গাজীপুর পোস্ট কোড
 ,Sreepur,Vitipara, , ,গাজীপুর পোস্ট কোড
18,Sreepur,Satkhamar EDSO, ,1744,গাজীপুর পোস্ট কোড
19,Sreepur,Karodi SO, ,1745,গাজীপুর পোস্ট কোড
 ,Sreepur,Baldighat, , ,গাজীপুর পোস্ট কোড
 ,Sreepur,Hoydebpur, , ,গাজীপুর পোস্ট কোড
 ,Sreepur,bapta, , ,গাজীপুর পোস্ট কোড
20,Sreepur,Bashmur Krishi So, ,1747,গাজীপুর পোস্ট কোড
21,Sreepur,Bangladesh Open Uni. SO, ,1748,গাজীপুর পোস্ট কোড
22,kaliakair,kaliakair UPO, ,1750,গাজীপুর পোস্ট কোড
 ,kaliakair,Cha-Bagan, , ,গাজীপুর পোস্ট কোড
 ,kaliakair,Pirojali, , ,গাজীপুর পোস্ট কোড
 ,kaliakair,Fulbariya, , ,গাজীপুর পোস্ট কোড
 ,kaliakair,Boali, , ,গাজীপুর পোস্ট কোড
 ,kaliakair,Raghunathpur, , ,গাজীপুর পোস্ট কোড
 ,kaliakair,Sakeshwar, , ,গাজীপুর পোস্ট কোড
 ,kaliakair,Bashtoli, , ,গাজীপুর পোস্ট কোড
 ,kaliakair,shahbajpur, , ,গাজীপুর পোস্ট কোড
 ,kaliakair,Boliyadi, , ,গাজীপুর পোস্ট কোড
 ,kaliakair,Boroipara, , ,গাজীপুর পোস্ট কোড
 ,kaliakair,Gosatra, , ,গাজীপুর পোস্ট কোড
 ,kaliakair,Haturiyachala, , ,গাজীপুর পোস্ট কোড
 ,kaliakair,Araigonj Hatkhola, , ,গাজীপুর পোস্ট কোড
 ,kaliakair,Goalbathan, , ,গাজীপুর পোস্ট কোড
 ,kaliakair,Boroibai, , ,গাজীপুর পোস্ট কোড
 ,kaliakair,Boro Gobindopur, , ,গাজীপুর পোস্ট কোড
 ,kaliakair,Dewar Bazar, , ,গাজীপুর পোস্ট কোড
23,kaliakair,Shafiqur A TC, ,1751,গাজীপুর পোস্ট কোড
 ,kaliakair,Safipur Bazar, , ,গাজীপুর পোস্ট কোড
 ,kaliakair,Ratanpur, , ,গাজীপুর পোস্ট কোড
 ,kaliakair,Chandura, , ,গাজীপুর পোস্ট কোড
 ,kaliakair,Mowchak, , ,গাজীপুর পোস্ট কোড
1,Sadar,Manikgonj HO, ,1800,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Gorpara, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Borong Gail, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Mohadebpur, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Manikgonj Bazar, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Teota, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Uthuli, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Boikanthapur, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Balirtek, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Balora, ,1800,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Baniyajuri, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Bongkhuri, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Boraid, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Boro Hatkora, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Barundi, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Betila, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Brikaliyakoir, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Chartilli, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Baraivikra, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Charghosta, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Dhankora, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,V-Tarail, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Helachiya, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Intajganj, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Jagir, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Zanna Bazar, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Zarina College, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Koitra, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Koliya Bazar, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Kellai, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Koitora, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Khabaspur, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Lemubari, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Motto, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Mitara, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Muljan, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Nabogram, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Pecharkanda, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Pukhuriya, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Ramdiyanali, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Sakrail, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Chanka, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Tora, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Shushunda, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Tilli, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Joynagar, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Butuni, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Bayra, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Atigram, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Katigram, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Krishnapur, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Sadar,Barahirchar, , ,মানিকগঞ্জ পোস্ট কোড  
2,Sadar,Manikgonj Bazar EDSO, ,1801,মানিকগঞ্জ পোস্ট কোড  
3,Sadar,Gharpara EDSO, ,1802,মানিকগঞ্জ পোস্ট কোড  
4,Sadar,Mohadebpur EDSO, ,1803,মানিকগঞ্জ পোস্ট কোড  
5,Sadar,Barangail EDSO, ,1804,মানিকগঞ্জ পোস্ট কোড  
6,Saturia,Saturia UPO, ,1810,মানিকগঞ্জ পোস্ট কোড  
 ,Saturia,Agsavar, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Saturia,Dargram, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Saturia,Gopalpur, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Saturia,Hargoj, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Saturia,Dighuliya, , ,মানিকগঞ্জ পোস্ট কোড  
7,Saturia,Baliati SO, ,1811,মানিকগঞ্জ পোস্ট কোড  
8,Singair,Singair UPO, ,1820,মানিকগঞ্জ পোস্ট কোড  
 ,Singair,Dholla Bazar, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Singair,Charigram, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Singair,Golardanga, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Singair,Dokkhin Jamsha, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Singair,Paril Nowarda, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Singair,Choto Kaliakair, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Singair,Boldhara, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Singair,Irta, , ,মানিকগঞ্জ পোস্ট কোড  
9,Singair,Bayra EDSO, ,1821,মানিকগঞ্জ পোস্ট কোড  
10,Singair,Joymantop EDSO, ,1822,মানিকগঞ্জ পোস্ট কোড  
 ,Singair,Jamirta, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Singair,Chandahar, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Singair,Sirajpur, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Singair,Sahrail, , ,মানিকগঞ্জ পোস্ট কোড  
11,Lesragonj (Harirampur),Lesragonj (Harirampur) UPO, ,1830,মানিকগঞ্জ পোস্ট কোড  
 ,Lesragonj (Harirampur),Chowdhury Bowali, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Lesragonj (Harirampur),Ibrahimpur, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Lesragonj (Harirampur),Harukandi, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Lesragonj (Harirampur),Jatrapur, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Lesragonj (Harirampur),Lokkhikul, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Lesragonj (Harirampur),Purbo Khalilpur, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Lesragonj (Harirampur),Sutalori, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Lesragonj (Harirampur),Dakkhin Chandpur, , ,মানিকগঞ্জ পোস্ট কোড  
12,Lesragonj (Harirampur),Jitka SO, ,1831,মানিকগঞ্জ পোস্ট কোড  
 ,Lesragonj (Harirampur),Chala, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Lesragonj (Harirampur),Diyabari, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Lesragonj (Harirampur),Maluchi, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Lesragonj (Harirampur),Ramkrishnapur, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Lesragonj (Harirampur),Hatbijoynagar, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Lesragonj (Harirampur),Notakhola, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Lesragonj (Harirampur),Ujanpara, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Lesragonj (Harirampur),Kanchanpur, , ,মানিকগঞ্জ পোস্ট কোড  
13,Ghior,Ghior UPO, ,1840,মানিকগঞ্জ পোস্ট কোড  
 ,Ghior,Borotiya, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Ghior,Troshree, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Ghior,Dhamshor, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Ghior,Bangala, , ,মানিকগঞ্জ পোস্ট কোড  
14,Shibalaya,Shibalaya UPO, ,1850,মানিকগঞ্জ পোস্ট কোড  
 ,Shibalaya,Amdala, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Shibalaya,Baghutiya, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Shibalaya,Khalshi, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Shibalaya,Nali, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Shibalaya,Noyabari, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Shibalaya,Jafarganj, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Shibalaya,Rupshi, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Shibalaya,Tepra, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Shibalaya,Zeonpur, , ,মানিকগঞ্জ পোস্ট কোড  
15,Shibalaya,Arichaghat SO, ,1851,মানিকগঞ্জ পোস্ট কোড  
16,Shibalaya,Teota EDSO, ,1852,মানিকগঞ্জ পোস্ট কোড  
17,Shibalaya,Uthali ED, ,1853,মানিকগঞ্জ পোস্ট কোড  
18,Daulatpur,Daulatpur UPO, ,1860,মানিকগঞ্জ পোস্ট কোড  
 ,Daulatpur,Amtoli, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Daulatpur,Chakmirpur, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Daulatpur,Charmastul, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Daulatpur,Taluknagar, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Daulatpur,Charkatari, , ,মানিকগঞ্জ পোস্ট কোড  
 ,Daulatpur,Bachamara, , ,মানিকগঞ্জ পোস্ট কোড  
1,Sadar,Tangail HO, ,1900,টাঙ্গাইল পোস্ট কোড  
 ,Sadar,Mogra, , ,টাঙ্গাইল পোস্ট কোড  
 ,Sadar,Makorkol, , ,টাঙ্গাইল পোস্ট কোড  
2,Sadar,Kagmari EDSO, ,1901,টাঙ্গাইল পোস্ট কোড  
3,Sadar,Sontosh SO, ,1902,টাঙ্গাইল পোস্ট কোড  
4,Sadar,Karatia SO, ,1903,টাঙ্গাইল পোস্ট কোড  
5,Sadar,Purabari EDSO, ,1904,টাঙ্গাইল পোস্ট কোড  
6,Deldoar,Deldoar UPO, ,1910,টাঙ্গাইল পোস্ট কোড  
 ,Deldoar,Hinganagar, , ,টাঙ্গাইল পোস্ট কোড  
 ,Deldoar,Pathrail, , ,টাঙ্গাইল পোস্ট কোড  
 ,Deldoar,Atiya Darga, , ,টাঙ্গাইল পোস্ট কোড  
 ,Deldoar,Lauhati, , ,টাঙ্গাইল পোস্ট কোড  
 ,Deldoar,Koijuri, , ,টাঙ্গাইল পোস্ট কোড  
7,Deldoar,Jangalia SO, ,1911,টাঙ্গাইল পোস্ট কোড  
8,Deldoar,Patharia EDSO, ,1912,টাঙ্গাইল পোস্ট কোড  
9,Deldoar,Elasin SO, ,1913,টাঙ্গাইল পোস্ট কোড  
10,Deldoar,Hinganagar EDSO, ,1914,টাঙ্গাইল পোস্ট কোড  
11,Deldoar,Lahati EDSO, ,1915,টাঙ্গাইল পোস্ট কোড  
12,Basail,Basail UPO, ,1920,টাঙ্গাইল পোস্ট কোড  
 ,Basail,Aisora, , ,টাঙ্গাইল পোস্ট কোড  
 ,Basail,Fulki Jhanjhaniya, , ,টাঙ্গাইল পোস্ট কোড  
 ,Basail,Tenguriyapara, , ,টাঙ্গাইল পোস্ট কোড  
13,Khas Kaolia,Khas Kaolia UPO (Chowhali thana at Serajgonj District), ,1921,টাঙ্গাইল পোস্ট কোড  
14,Nagarpur,Nagarpur UPO, ,1936,টাঙ্গাইল পোস্ট কোড  
 ,Nagarpur,Konra, , ,টাঙ্গাইল পোস্ট কোড  
 ,Nagarpur,Khash Shahjani, , ,টাঙ্গাইল পোস্ট কোড  
15,Nagarpur,Doboria SO, ,1937,টাঙ্গাইল পোস্ট কোড  
16,Nagarpur,Salimabad EDSO, ,1938,টাঙ্গাইল পোস্ট কোড  
17,Mirzapur,Mirzapur UPO, ,1940,টাঙ্গাইল পোস্ট কোড  
 ,Mirzapur,Kuripara, , ,টাঙ্গাইল পোস্ট কোড  
 ,Mirzapur,Mirzapur Cadet College, , ,টাঙ্গাইল পোস্ট কোড  
18,Mirzapur,Gurhai SO, ,1941,টাঙ্গাইল পোস্ট কোড  
19,Mirzapur,MC College EDSO, ,1942,টাঙ্গাইল পোস্ট কোড  
20,Mirzapur,Warshi Paikpara SO, ,1943,টাঙ্গাইল পোস্ট কোড  
21,Mirzapur,Jamurkhi SO, ,1944,টাঙ্গাইল পোস্ট কোড  
22,Mirzapur,Mahera SO, ,1945,টাঙ্গাইল পোস্ট কোড  
23,Shakhipur,Shakhipur UPO, ,1950,টাঙ্গাইল পোস্ট কোড  
 ,Shakhipur,Kochua, , ,টাঙ্গাইল পোস্ট কোড  
 ,Shakhipur,Indarjani, , ,টাঙ্গাইল পোস্ট কোড  
24,Shakhipur,Kachua EDSO, ,1951,টাঙ্গাইল পোস্ট কোড  
25,Bhuapur,Bhuapur UPO, ,1960,টাঙ্গাইল পোস্ট কোড  
 ,Bhuapur,Nikrail, , ,টাঙ্গাইল পোস্ট কোড  
 ,Bhuapur,Palisha Matikata, , ,টাঙ্গাইল পোস্ট কোড  
 ,Bhuapur,Charoshshua, , ,টাঙ্গাইল পোস্ট কোড  
 ,Bhuapur,Dhubliya, , ,টাঙ্গাইল পোস্ট কোড  
 ,Bhuapur,Nalin Bazar, , ,টাঙ্গাইল পোস্ট কোড  
 ,Bhuapur,Arjuna, , ,টাঙ্গাইল পোস্ট কোড  
26,Kalihati,Kalihati UPO, ,1970,টাঙ্গাইল পোস্ট কোড  
 ,Kalihati,Chati Hati, , ,টাঙ্গাইল পোস্ট কোড  
 ,Kalihati,Nagbari, , ,টাঙ্গাইল পোস্ট কোড  
27,Kalihati,Rajakair EDSO, ,1971,টাঙ্গাইল পোস্ট কোড  
28,Kalihati,Nagbari EDSO, ,1972,টাঙ্গাইল পোস্ট কোড  
29,Kalihati,Balla Bazar SO, ,1973,টাঙ্গাইল পোস্ট কোড  
30,Kalihati,Alega SO, ,1974,টাঙ্গাইল পোস্ট কোড  
31,Kalihati,Palisha EDSO, ,1975,টাঙ্গাইল পোস্ট কোড  
32,Kalihati,Nagorbari SO, ,1977,টাঙ্গাইল পোস্ট কোড  
33,Ghatail,Ghatail UPO, ,1980,টাঙ্গাইল পোস্ট কোড  
 ,Ghatail,Kadomtoli, , ,টাঙ্গাইল পোস্ট কোড  
 ,Ghatail,Kaliyagram, , ,টাঙ্গাইল পোস্ট কোড  
 ,Ghatail,Dewpara, , ,টাঙ্গাইল পোস্ট কোড  
 ,Ghatail,Bagundali, , ,টাঙ্গাইল পোস্ট কোড  
 ,Ghatail,Vabondotto, , ,টাঙ্গাইল পোস্ট কোড  
 ,Ghatail,Shahi Anuhola, , ,টাঙ্গাইল পোস্ট কোড  
 ,Ghatail,Jahidganj, , ,টাঙ্গাইল পোস্ট কোড  
 ,Ghatail,D Pakutiya, , ,টাঙ্গাইল পোস্ট কোড  
34,Ghatail,Jahingonj EDSO, ,1981,টাঙ্গাইল পোস্ট কোড  
35,Ghatail,D. Pakutia EDSO, ,1982,টাঙ্গাইল পোস্ট কোড  
36,Ghatail,Dhalapara SO, ,1983,টাঙ্গাইল পোস্ট কোড  
37,Ghatail,LS Dighi SO, ,1984,টাঙ্গাইল পোস্ট কোড  
38,Gopalpur,Gopalpur UPO, ,1990,টাঙ্গাইল পোস্ট কোড  
 ,Gopalpur,Hadira Bazar, , ,টাঙ্গাইল পোস্ট কোড  
 ,Gopalpur,Vengua, , ,টাঙ্গাইল পোস্ট কোড  
39,Gopalpur,Jhaoali So, ,1991,টাঙ্গাইল পোস্ট কোড  
40,Gopalpur,Hemnagar SO, ,1992,টাঙ্গাইল পোস্ট কোড  
41,Madhupur,Madhupur UPO, ,1996,টাঙ্গাইল পোস্ট কোড  
 ,Madhupur,Rajafoir, , ,টাঙ্গাইল পোস্ট কোড  
 ,Madhupur,Sholakura, , ,টাঙ্গাইল পোস্ট কোড  
42,Madhupur,Dhanbari EDSO, ,1997,টাঙ্গাইল পোস্ট কোড  
1,Sadar,Jamalpur Ho, ,2000,জামালপুর পোস্ট কোড  
2,Sadar,Nandina SO, ,2001,জামালপুর পোস্ট কোড  
3,Sadar,Nurundi SO, ,2002,জামালপুর পোস্ট কোড  
4,Melandah,Melandah UPO, ,2010,জামালপুর পোস্ট কোড  
5,Melandah,Jalalpur EDSO, ,2011,জামালপুর পোস্ট কোড  
6,Melandah,Malancha SO, ,2012,জামালপুর পোস্ট কোড  
7,Melandah,Mahmudpur EDSO, ,2013,জামালপুর পোস্ট কোড  
8,Islampur,Islampur UPO, ,2020,জামালপুর পোস্ট কোড  
9,Islampur,Durmot SO, ,2021,জামালপুর পোস্ট কোড  
10,Islampur,Gilabari SO, ,2022,জামালপুর পোস্ট কোড  
11,Dewangonj,Dewangonj UPO, ,2030,জামালপুর পোস্ট কোড  
12,Dewangonj,Dewangonj S Mills SO, ,2031,জামালপুর পোস্ট কোড  
13,Madargonj,Madargonj UPO, ,2040,জামালপুর পোস্ট কোড  
14,Madargonj,Balijuri SO, ,2041,জামালপুর পোস্ট কোড  
15,Sarishabari,Sarishabari UPO, ,2050,জামালপুর পোস্ট কোড  
16,Sarishabari,Gunabari SO, ,2051,জামালপুর পোস্ট কোড  
17,Sarishabari,Baushi Banguli SO, ,2052,জামালপুর পোস্ট কোড  
18,Sarishabari,Jagannatghat SO, ,2053,জামালপুর পোস্ট কোড  
19,Sarishabari,Pingna SO, ,2054,জামালপুর পোস্ট কোড  
20,Sarishabari,Jamuna FF SO, ,2055,জামালপুর পোস্ট কোড  
1,sadar,Sherpur HO, ,2100, শেরপুর পোস্ট কোড  
2,Nalitabari,Nalitabari UPO, ,2110, শেরপুর পোস্ট কোড  
 ,Nalitabari,Latifpur, , , শেরপুর পোস্ট কোড  
3,Nalitabari,Hati Banda SO, ,2111, শেরপুর পোস্ট কোড  
4,Jenaigati,Jenaigati UPO, ,2120, শেরপুর পোস্ট কোড  
5,Sreebardi,Sreebardi UPO, ,2130, শেরপুর পোস্ট কোড  
6,Bakshigonj,Bakshigonj, ,2140, শেরপুর পোস্ট কোড  
7,Nakla,Nakla UPO, ,2150, শেরপুর পোস্ট কোড  
8,Nakla,Ganapaddi SO, ,2151, শেরপুর পোস্ট কোড  
1,Sadar,Mymensingh HO, ,2200,ময়মনসিংহ পোস্ট কোড
 ,Sadar,Moshiur Nagar, , ,ময়মনসিংহ পোস্ট কোড
 ,Sadar,Piyarpur, , ,ময়মনসিংহ পোস্ট কোড
2,Sadar,Keot Khali SO, ,2201,ময়মনসিংহ পোস্ট কোড
3,Sadar,Agriculture University SO, ,2202,ময়মনসিংহ পোস্ট কোড
4,Sadar,Shamboogonj SO, ,2203,ময়মনসিংহ পোস্ট কোড
5,Sadar,Bidyagonj SO, ,2204,ময়মনসিংহ পোস্ট কোড
 ,Sadar,Begunbari, , ,ময়মনসিংহ পোস্ট কোড
 ,Sadar,Khamarer Bazar, , ,ময়মনসিংহ পোস্ট কোড
 ,Sadar,Bororchar, , ,ময়মনসিংহ পোস্ট কোড
